Common name,Taxonomy
Brown-point shield skin longirostris,Aspidoras-fuscoguttatus
,Aspidoras-lakoi
Loach catfish,Aspidoras-rochai
"Sixray corydoras, false corydoras",Aspidoras-pauciradiatus
Britski's catfish,Brochis-britskii
Emerald catfish,Brochis-splendens
Hognosed brochis,Brochis-multiradiatus
Cascarudo,Callichthys-callichthys
Adolfo's catfish/corydoras,Corydoras-adolfoi
Banded corydoras,Scleromystax-barbatus
"Masked corydoras, bandit corydoras",Corydoras-metae
Barred-tail corydoras,Corydoras-cochui
Blackstripe corydoras,Corydoras-bondi
Blacktop corydoras,Corydoras-acutus
Blue corydoras,Corydoras-nattereri
Bluespotted corydoras,Corydoras-melanistius
"Bronze corydoras, Emerald green cory",Corydoras-aeneus
Caracha,Corydoras-atropersonatus
Ehrhardt's corydoras,Corydoras-ehrhardti
Evelyn's cory,Corydoras-evelynae
,Corydoras-geoffroy
,Corydoras-latus
Loxozonus cory,Corydoras-loxozonus
Corydoras nain,Corydoras-nanus
Long nosed arched cory,Corydoras-narcissus
,Corydoras-ornatus
,Corydoras-osteocarus
,Corydoras-polystictus
,Scleromystax-prionotos
,Corydoras-semiaquilus
,Corydoras-septentrionalis
,Corydoras-simulatus
,Corydoras-undulatus
Dwarf corydoras,Corydoras-hastatus
Elegant corydoras,Corydoras-elegans
False network catfish,Corydoras-sodalis
False spotted catfish,Corydoras-leucomelas
Gold laser cory,Corydoras-melanotaenia
Guapore corydoras,Corydoras-guapore
"Mosaic corydoras, reticulated corydoras",Corydoras-haraldschultzi
"Mosaic corydoras, reticulated corydoras",Corydoras-reticulatus
Panda corydoras,Corydoras-panda
Pastaza corydoras,Corydoras-pastazensis
"Peppered corydoras, salt and pepper catfish",Corydoras-paleatus
Pink corydoras,Corydoras-axelrodi
Pygmy corydoras,Corydoras-pygmaeus
Sailfin corydoras,Scleromystax-macropterus
Salt and pepper catfish/corydoras,Corydoras-habrosus
Schwartz's catfish,Corydoras-schwartzi
"Spotted corydoras, longnose corydoras",Corydoras-ambiacus
Sterba's corydoras,Corydoras-sterbai
Sychr's catfish,Corydoras-sychri
Tailspot corydoras,Corydoras-caudimaculatus
"Threestripe corydoras, leopard catfish, false julii cory",Corydoras-trilineatus
Xingu corydoras,Corydoras-xinguensis
Julii corydoras,Corydoras-julii
Flagtail catfish,Dianema-urostriatum
"Bristlenose pleco, bushynose pleco",Ancistrus-spp.
Gold nugget pleco,Baryancistrus-spp.
Whiptail catfish,Rineloricaria-spp.
Twig catfish,Farlowella-spp.
Panaque,Panaque-spp.
"Pineapple pleco, orange cheek pleco",Pseudorinelepis-spp.
